,id,type,y_index,y,centroid mean,centroid var,rolloff mean,rolloff var,zero mean,zero var,rms mean,rms var,contrast mean,contrast var,mfcc1 mean,mfcc1 var,mfcc2 mean,mfcc2 var,mfcc3 mean,mfcc3 var,mfcc4 mean,mfcc4 var,mfcc5 mean,mfcc5 var,mel1 mean,mel1 var,mel2 mean,mel2 var,mel3 mean,mel3 var,mel4 mean,mel4 var,mel5 mean,mel5 var
0,00000,reggae,8.0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",2133.43867959,276868.750702,4802.72222475,1915855.40565,0.0977910004845,0.00128516887603,0.0942738130689,0.0017736380687,25.9755014428,30.8549109074,-159.400055881,3304.33035201,104.846650223,382.703431337,-10.2620508361,491.262887329,34.6649125918,283.206858452,-4.97850514069,159.602688212,21.8437097908,452.356280688,3.77045331607,24.7980176005,3.26941113616,29.1093042377,1.66078028337,9.31349258836,1.21671016974,4.94389708876
34,00001,reggae,8.0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",1638.62847352,409984.117321,3574.82887445,2713411.96924,0.0638842205669,0.00135724338085,0.0820894762874,0.00161768798716,29.5442039896,37.2372056593,-190.904911066,2955.11974002,127.405558783,781.517823621,-3.70020993907,428.588165697,26.7211703934,129.939414958,-12.7576179006,124.226581009,21.8437097908,452.356280688,3.77045331607,24.7980176005,3.26941113616,29.1093042377,1.66078028337,9.31349258836,1.21671016974,4.94389708876
68,00002,reggae,8.0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",1797.3304071,428057.901611,3925.43616007,2566735.46059,0.0751124182413,0.00177122378921,0.0927422270179,0.0018294157926,26.0686058142,43.9291352689,-188.90512255,6340.71786612,110.818095128,721.066557465,2.949163285,632.384755666,48.4460588402,319.795471605,-6.39216956105,192.009030349,21.8437097908,452.356280688,3.77045331607,24.7980176005,3.26941113616,29.1093042377,1.66078028337,9.31349258836,1.21671016974,4.94389708876
102,00003,reggae,8.0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",1921.35664257,684416.387579,4149.21454851,3789520.19608,0.0847474563953,0.00402157720927,0.0942382439971,0.00215388298966,26.2633104321,46.4855975117,-201.105160196,5484.68728412,104.242001683,1122.53266152,-15.581153261,758.292741871,30.7825858131,315.312136974,14.2529745873,299.70203647,21.8437097908,452.356280688,3.77045331607,24.7980176005,3.26941113616,29.1093042377,1.66078028337,9.31349258836,1.21671016974,4.94389708876
136,00004,reggae,8.0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",2008.86297215,492314.889642,4301.09874637,2406039.5684,0.0844177719234,0.00242289807474,0.101256765425,0.00274242763408,25.4453560515,40.0204545444,-175.559284287,7059.63346185,104.948188275,876.304901386,-15.7039566994,560.555533848,27.5346440478,376.854391391,-8.05794742366,243.377395374,21.8437097908,452.356280688,3.77045331607,24.7980176005,3.26941113616,29.1093042377,1.66078028337,9.31349258836,1.21671016974,4.94389708876
170,00005,reggae,8.0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",1799.04529034,395550.419603,3797.58067996,1983891.31575,0.0730888898983,0.0017288141193,0.100184626877,0.00250491010956,28.2265128768,35.9891338171,-176.664432393,5418.12440079,116.824073094,811.221270152,-21.2892633291,534.580842433,38.7450941604,246.154832134,-5.4769944385,356.34928424,21.8437097908,452.356280688,3.77045331607,24.7980176005,3.26941113616,29.1093042377,1.66078028337,9.31349258836,1.21671016974,4.94389708876
204,00006,reggae,8.0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",1418.14667099,547037.596409,2881.43469522,2611936.82358,0.06071304203,0.00260013232931,0.105304382741,0.00257970159873,29.4124905895,34.9568075916,-207.251093464,5190.56553939,134.643583778,1107.78729925,-9.00801856274,723.134629147,38.5073739071,426.294363872,6.27814010635,397.942026076,21.8437097908,452.356280688,3.77045331607,24.7980176005,3.26941113616,29.1093042377,1.66078028337,9.31349258836,1.21671016974,4.94389708876
238,00007,reggae,8.0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",1754.22740929,458039.753032,3768.73620322,2931135.79102,0.0739496275436,0.00200357162181,0.0905780792236,0.00151756033301,26.0823830713,47.1360460178,-192.284007265,5030.80230491,116.514957604,666.568404114,-10.9300960681,726.667086005,29.8988174342,417.914616149,-0.629633654725,344.61188227,21.8437097908,452.356280688,3.77045331607,24.7980176005,3.26941113616,29.1093042377,1.66078028337,9.31349258836,1.21671016974,4.94389708876
272,00008,reggae,8.0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",1692.90752413,499524.157305,3660.16045149,2689619.00067,0.0695176235465,0.0021155873741,0.101555608213,0.00228143413551,27.7111463555,30.3286053046,-194.697786326,5911.16301231,118.490637448,1136.64229631,-6.39329954785,594.051863461,40.7774572861,506.116379845,-3.29287574377,323.94409612,21.8437097908,452.356280688,3.77045331607,24.7980176005,3.26941113616,29.1093042377,1.66078028337,9.31349258836,1.21671016974,4.94389708876
306,00009,reggae,8.0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",1608.6939066,1058320.117,3264.39186274,4912783.97444,0.060355347626,0.00243277947523,0.0867001339793,0.0018752948381,24.2352952512,47.4956754743,-232.890588743,6379.84440162,131.270890429,1345.56904313,2.72215100896,614.796048977,18.356308069,301.604519961,11.3517168156,310.769807816,21.8437097908,452.356280688,3.77045331607,24.7980176005,3.26941113616,29.1093042377,1.66078028337,9.31349258836,1.21671016974,4.94389708876
