,id,type,y_index,y,centroid mean,centroid var,rolloff mean,rolloff var,zero mean,zero var,rms mean,rms var,contrast mean,contrast var,mfcc1 mean,mfcc1 var,mfcc2 mean,mfcc2 var,mfcc3 mean,mfcc3 var,mfcc4 mean,mfcc4 var,mfcc5 mean,mfcc5 var,mfcc6 mean,mfcc6 var,mfcc7 mean,mfcc7 var,mfcc8 mean,mfcc8 var,mfcc9 mean,mfcc9 var,mfcc10 mean,mfcc10 var,mfcc11 mean,mfcc11 var,mfcc12 mean,mfcc12 var,mfcc13 mean,mfcc13 var
0,00000,reggae,8.0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",2133.43867959,276868.750702,4802.72222475,1915855.40565,0.0977910004845,0.00128516887603,-0.757256571243,3524.33178196,25.9755014428,30.8549109074,-159.400055881,3304.33035201,104.846650223,382.703431337,-10.2620508361,491.262887329,34.6649125918,283.206858452,-4.97850514069,159.602688212,26.8170358005,129.592181987,-21.9565317902,135.895793066,23.4885230634,105.145287534,-14.0207977351,87.8256791633,19.6095641275,105.138305376,-8.29027278068,98.3973522144,9.70064561579,113.165564458,-10.0634526837,96.3768128442
40,00001,reggae,8.0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",1638.62847352,409984.117321,3574.82887445,2713411.96924,0.0638842205669,0.00135724338085,-3.56040768022,4599.76596992,29.5442039896,37.2372056593,-190.904911066,2955.11974002,127.405558783,781.517823621,-3.70020993907,428.588165697,26.7211703934,129.939414958,-12.7576179006,124.226581009,23.944937493,77.6093277093,-8.22184041951,94.8090514842,9.9893799023,113.933274697,-12.2271234079,80.0331322868,13.4096487782,78.5497445047,-7.09313578782,76.108486044,1.64862990015,63.9955866973,-14.499786572,56.6490283148
80,00002,reggae,8.0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",1797.3304071,428057.901611,3925.43616007,2566735.46059,0.0751124182413,0.00177122378921,-1.81488991382,4690.08817015,26.0686058142,43.9291352689,-188.90512255,6340.71786612,110.818095128,721.066557465,2.949163285,632.384755666,48.4460588402,319.795471605,-6.39216956105,192.009030349,20.7589118514,243.482132084,-12.5258855807,168.693047229,15.8977110844,141.598516955,-13.567013148,129.906152773,9.44249812084,126.563703427,-8.01564575343,87.6279095401,8.10802785083,89.3678304124,-10.6081984473,102.062790283
120,00003,reggae,8.0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",1921.35664257,684416.387579,4149.21454851,3789520.19608,0.0847474563953,0.00402157720927,-1.34334589689,4905.52130171,26.2633104321,46.4855975117,-201.105160196,5484.68728412,104.242001683,1122.53266152,-15.581153261,758.292741871,30.7825858131,315.312136974,14.2529745873,299.70203647,31.3801475674,218.114290458,-7.85208149687,225.541778556,17.9356130068,189.660390857,-4.05151155115,115.188453934,16.939259833,100.480247298,-11.2198017786,104.136154966,12.1030222856,94.0549111242,-5.28939315168,92.6126583404
160,00004,reggae,8.0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",2008.86297215,492314.889642,4301.09874637,2406039.5684,0.0844177719234,0.00242289807474,-2.45795025714,4214.52242125,25.4453560515,40.0204545444,-175.559284287,7059.63346185,104.948188275,876.304901386,-15.7039566994,560.555533848,27.5346440478,376.854391391,-8.05794742366,243.377395374,23.9949774114,199.21102853,-10.3458285937,256.864164205,18.857159589,187.673167978,-8.37347598277,185.042534349,11.856654727,159.426260405,-7.60143397103,134.839708428,12.5395423711,126.4780324,-6.04259280629,95.5669435487
200,00005,reggae,8.0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",1799.04529034,395550.419603,3797.58067996,1983891.31575,0.0730888898983,0.0017288141193,-1.27403062574,4354.95385916,28.2265128768,35.9891338171,-176.664432393,5418.12440079,116.824073094,811.221270152,-21.2892633291,534.580842433,38.7450941604,246.154832134,-5.4769944385,356.34928424,26.5932220929,185.006037414,-8.1703332804,188.14543216,15.748667189,104.640343668,-10.4868969607,111.895842553,11.0164166468,118.405396547,-10.0505430428,83.5617219364,9.89692205615,84.8304650374,-3.24832992866,87.1621547466
240,00006,reggae,8.0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",1418.14667099,547037.596409,2881.43469522,2611936.82358,0.06071304203,0.00260013232931,-1.17433271583,5596.83507242,29.4124905895,34.9568075916,-207.251093464,5190.56553939,134.643583778,1107.78729925,-9.00801856274,723.134629147,38.5073739071,426.294363872,6.27814010635,397.942026076,22.6445518202,184.185862396,-8.30532522203,314.284206006,16.3250831631,151.533565486,-8.43555131636,121.154809556,4.19731859468,139.419226313,-4.34283802714,111.404137484,6.36807362606,92.2401321429,-6.88762370823,87.6597400109
280,00007,reggae,8.0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",1754.22740929,458039.753032,3768.73620322,2931135.79102,0.0739496275436,0.00200357162181,-2.56841130553,4726.51618574,26.0823830713,47.1360460178,-192.284007265,5030.80230491,116.514957604,666.568404114,-10.9300960681,726.667086005,29.8988174342,417.914616149,-0.629633654725,344.61188227,21.3833825224,142.35294029,-11.9445216785,402.287934272,18.6057008189,155.785915332,-13.0801783266,159.714007926,14.4501145077,146.71090072,-7.38872432394,139.37408265,4.84319351418,107.899956759,-2.82835205667,115.061471948
320,00008,reggae,8.0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",1692.90752413,499524.157305,3660.16045149,2689619.00067,0.0695176235465,0.0021155873741,-1.07509582974,4963.96508178,27.7111463555,30.3286053046,-194.697786326,5911.16301231,118.490637448,1136.64229631,-6.39329954785,594.051863461,40.7774572861,506.116379845,-3.29287574377,323.94409612,25.4684498924,152.138869524,-9.31447522735,235.427757767,11.4257534324,163.300963631,-6.11039541754,201.314217082,15.3364796774,127.977295688,-5.14929035327,105.798979647,5.76974774725,83.7781076857,-6.2866486539,105.319629358
360,00009,reggae,8.0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",1608.6939066,1058320.117,3264.39186274,4912783.97444,0.060355347626,0.00243277947523,-3.37725760038,6431.55842766,24.2352952512,47.4956754743,-232.890588743,6379.84440162,131.270890429,1345.56904313,2.72215100896,614.796048977,18.356308069,301.604519961,11.3517168156,310.769807816,22.8977590857,255.482532852,-10.4859609151,271.428424744,16.7002344705,163.017708621,-15.2185171092,171.910167685,15.519099743,136.562806178,-8.35733671819,133.006135325,7.99617802747,99.1142358414,-3.76628296846,98.5562705503
