,Unnamed: 0,id,type,y_index,y,centroid mean,centroid var,rolloff mean,rolloff var,zero mean,zero var,rms mean,rms var,contrast mean,contrast var,mfcc1 mean,mfcc1 var,mfcc2 mean,mfcc2 var,mfcc3 mean,mfcc3 var,mfcc4 mean,mfcc4 var,mfcc5 mean,mfcc5 var
0,4272,78,hiphop,4.0,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",2328.73016241,1312854.90343,4928.70815543,5840845.23287,0.096431761749,0.00812136155182,0.278785120745,2500.05606555,19.80825022,33.655296523,-111.36113453,7078.17509283,89.9160260514,1459.62476575,4.45708361771,1068.82307357,14.5403793236,397.725338537,9.9382554415,312.176208871
1,3408,42,hiphop,4.0,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",2909.69337343,994968.717856,6031.24154024,2503341.37675,0.102641260901,0.00572602831825,7.24311868778,1323.24006955,25.112758856,23.6798869152,-74.3488896297,4353.92181375,48.7703151261,1143.66522875,4.02514208857,752.539190268,35.8533406517,330.537770162,12.492580608,262.489766894
2,1608,67,reggae,8.0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",1728.76552206,272742.677993,3519.75228243,1937607.77447,0.0604916121609,0.00106146824932,4.36896740533,2844.2644717,18.0206580677,21.0266712964,-133.189614439,2465.20034445,117.044500064,563.390668122,-2.75556044913,324.622921377,22.5612569223,207.697567751,25.9342108968,181.41487773
3,8832,68,rock,9.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",2466.14519557,282908.506984,5401.20338617,791095.970751,0.118197750121,0.00256039354407,1.04195362695,2492.71866165,18.1742794667,18.0792864408,-121.00070295,1689.69647316,91.7878696377,414.608982892,-14.6974977492,243.519809205,52.9733696032,83.7926359756,-11.4142558566,73.7596380282
4,19056,94,metal,6.0,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",2708.40989625,442134.628603,5293.66256359,982278.74751,0.160967402495,0.00333085521469,-1.94574777145,2368.37191472,19.2618075226,20.2116453641,-104.647900449,2875.37895949,87.6757059579,795.677216449,-33.2176686383,365.103236475,48.4098426915,415.963110007,-28.9237611743,163.44395347
5,13896,79,blues,0.0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2444.72272774,131176.597458,5269.09968886,416618.466519,0.12469832546,0.00118618244162,9.95822506715,1165.43897146,21.5182806353,37.5836336819,-3.5814236694,1030.09763365,92.8704723174,172.583351595,-25.1309702472,147.647082022,45.1598936818,66.1034872788,-10.8698670032,70.5687695462
6,22896,54,disco,3.0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",2566.78478119,826897.026076,5524.38499273,2141037.03627,0.114606801114,0.00558349347302,-6.09265103694,5255.85681129,20.7507304724,26.1902106215,-226.495988837,3847.04751226,78.2339354081,729.520760894,7.97083947875,628.081610014,53.9458381448,244.887240262,-1.17847185388,191.336003648
7,8160,40,rock,9.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",3009.99228583,436124.628128,6131.00370185,1793401.80155,0.144611873183,0.00346859847487,4.24471109521,1056.29766418,31.9924807833,32.2727793745,-66.0528205888,2661.12774009,61.2808621116,455.013463906,-1.9092752709,343.319898446,35.3226546774,268.302008909,9.3196132737,97.0831581927
8,1992,83,reggae,8.0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",1365.31732682,468716.209683,2560.76523892,2603408.43252,0.0711047268653,0.00275168440103,-7.49901530406,8779.25522677,21.3533464508,11.555919318,-286.106042593,7585.80073189,138.752504704,1419.44360387,20.0039452225,1001.76275243,35.2311482658,438.945332505,-7.966893359,337.773763022
9,13704,71,blues,0.0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2429.27106599,97796.1231578,5064.16702625,231894.307066,0.134673646439,0.0014311851874,0.129307799444,1895.12938186,23.0950980596,16.1503372784,-89.3494174824,697.418092173,93.7945222638,192.985609628,-14.6213123847,132.209729067,54.399271297,99.4599865638,-33.5199008448,64.5653741603
10,2496,4,hiphop,4.0,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",2372.25628636,1075982.22951,5060.18588754,4363996.38996,0.0999008296996,0.0061374476506,2.89818012738,3491.86442214,22.6977683605,35.3149920099,-140.314641883,12434.5443867,71.6615206336,1071.01160664,-3.69220633697,1507.01919463,38.9815182025,459.334170108,4.20072337963,418.098093755
11,12744,31,blues,0.0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1331.86732677,352537.541198,2902.76758948,3712027.23372,0.0430066012597,0.00109727923224,-9.7435040322,5320.43404205,36.2363747034,19.2608088334,-221.720227969,2510.88041283,110.862764953,586.209443908,18.6143311075,190.667244389,30.9224804953,180.98187258,3.29078129635,221.772865215
12,2904,21,hiphop,4.0,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",2405.51474999,522724.317283,4987.41534566,1329160.60242,0.119676220325,0.00409539926655,8.08568837845,1392.14191976,20.0330297826,29.442246972,-27.5442214955,1444.30632101,94.4120908921,650.875047336,-20.555773714,482.302732036,49.8343270045,293.998306984,-14.7213075924,251.230611598
13,3360,40,hiphop,4.0,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",2429.75140558,2072618.57402,5271.84558957,8291625.03312,0.101391790819,0.0133966396622,-1.46021023213,4678.19754972,25.0332593878,29.4775300209,-185.411215403,9968.78311922,96.8063666451,2127.04285315,44.6250099646,740.988129355,13.8993324807,308.922832421,5.99912323431,247.444471281
14,16224,76,jazz,5.0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",1733.17685223,147715.458901,3378.86003361,1250580.2647,0.0687079851017,0.000769826506245,-4.99769482739,3247.60590543,26.3302963637,33.8645909508,-154.137472851,3346.87484126,110.719187227,512.113348926,-22.3256861561,750.234657227,21.1810471575,174.548040086,4.24290897017,110.365958373
15,4752,98,hiphop,4.0,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",2538.30838178,306056.363884,5354.00560956,630224.145792,0.100689271439,0.00361678345732,3.58131939633,2567.63553593,22.4290064825,10.6923019411,-129.995226194,1922.41606801,71.9765874577,409.531407038,-23.1988997214,400.066192597,63.2563254447,279.095170339,-6.85225997919,179.853315028
16,14544,6,jazz,5.0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",1220.20075056,265663.970397,2416.57624001,1255522.90389,0.0480790485707,0.00069584754072,-4.60124612474,6796.64360626,23.2715579013,22.8506631792,-234.259450154,6431.58886353,142.752895318,1389.29273555,-14.2699356845,609.185450152,51.8757859582,371.018757142,-8.20862900242,197.321392284
17,19272,3,pop,7.0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",1837.34767891,789212.913935,3671.28593977,3157873.6497,0.0852698037791,0.0020974632072,3.97676576712,3095.23906406,24.4504441693,23.6032271874,-125.903533535,2750.39688572,126.61557947,1231.25900534,-23.1985360513,507.834157753,36.1984685796,368.818363412,20.9787302047,142.328448971
18,9768,7,country,2.0,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",2897.6493752,377415.17501,6398.47446176,1409507.02646,0.112843310925,0.00178398814083,9.75451065136,513.12342461,24.0443676275,16.9794813603,-20.830307909,802.951688163,64.9316194781,337.162346838,6.75868659882,194.095505335,26.3526895865,115.190574503,11.6709839133,95.4879178909
